city/county,state,date,positive_tests,total_tests
Chicago,Illinois,2020/06/10,358,6006
Chicago,Illinois,2021/12/06,1454,41139
Chicago,Illinois,2021/11/04,588,28211
Chicago,Illinois,2021/02/03,700,14372
Chicago,Illinois,2021/09/19,315,7714
Chicago,Illinois,2020/05/25,281,2114
Chicago,Illinois,2020/06/30,342,9010
Chicago,Illinois,2020/12/22,1646,19760
Chicago,Illinois,2022/03/03,199,31490
Chicago,Illinois,2021/05/12,416,13383
Chicago,Illinois,2021/06/20,31,3449
Chicago,Illinois,2020/04/15,637,2391
Chicago,Illinois,2021/12/24,4402,30472
Chicago,Illinois,2022/02/01,995,44144
Chicago,Illinois,2021/03/22,586,17258
Chicago,Illinois,2020/12/30,1633,15428
Chicago,Illinois,2022/01/17,2621,24324
Chicago,Illinois,2020/06/08,421,6806
Chicago,Illinois,2020/10/29,1992,17652
Chicago,Illinois,2022/03/08,211,34793
Chicago,Illinois,2021/09/03,556,14355
Chicago,Illinois,2021/04/01,779,14426
Chicago,Illinois,2020/10/04,170,4162
Chicago,Illinois,2020/03/09,2,35
Chicago,Illinois,2021/01/24,406,5570
Chicago,Illinois,2020/07/31,553,9420
Chicago,Illinois,2020/05/10,368,1873
Chicago,Illinois,2021/04/14,902,17239
Chicago,Illinois,2021/10/14,401,25112
Chicago,Illinois,2021/10/02,292,10525
Chicago,Illinois,2020/03/24,345,1352
Chicago,Illinois,2022/02/16,471,35534
Chicago,Illinois,2021/06/07,112,11776
Chicago,Illinois,2021/07/31,291,8995
Chicago,Illinois,2020/03/03,0,9
Chicago,Illinois,2021/01/30,506,7056
Chicago,Illinois,2021/05/03,645,17485
Chicago,Illinois,2022/02/03,655,26525
Chicago,Illinois,2020/05/16,594,3974
Chicago,Illinois,2022/02/22,334,41506
Chicago,Illinois,2020/10/21,1265,16910
Chicago,Illinois,2020/10/01,430,9843
Chicago,Illinois,2021/03/16,478,16487
Chicago,Illinois,2022/02/10,513,36270
Chicago,Illinois,2020/07/28,393,8856
Chicago,Illinois,2020/03/28,246,888
Chicago,Illinois,2021/07/11,64,4855
Chicago,Illinois,2020/11/23,2865,24537
Chicago,Illinois,2020/07/19,118,2916
Chicago,Illinois,2021/05/17,421,14766
Chicago,Illinois,2022/01/15,2009,17021
Chicago,Illinois,2021/12/08,1545,35496
Chicago,Illinois,2021/10/26,382,27970
Chicago,Illinois,2020/06/11,334,5607
Chicago,Illinois,2022/01/18,3432,55448
Chicago,Illinois,2022/01/27,1288,42531
Chicago,Illinois,2022/01/13,4073,42556
Chicago,Illinois,2020/08/14,408,8281
Chicago,Illinois,2022/03/24,0,5
Chicago,Illinois,2021/09/11,358,8802
Chicago,Illinois,2021/09/22,498,24333
Chicago,Illinois,2021/08/06,495,15234
Chicago,Illinois,2020/07/08,393,10413
Chicago,Illinois,2020/08/28,493,8360
Chicago,Illinois,2021/12/17,4184,41681
Chicago,Illinois,2021/03/09,380,15394
Chicago,Illinois,2022/02/11,413,24069
Chicago,Illinois,2021/07/17,113,6596
Chicago,Illinois,2022/01/25,1713,45620
Chicago,Illinois,2020/12/06,775,6000
Chicago,Illinois,2020/03/25,367,1322
Chicago,Illinois,2020/11/13,3125,22144
Chicago,Illinois,2021/12/27,10239,51108
Chicago,Illinois,2021/01/09,923,9178
Chicago,Illinois,2021/11/25,238,6179
Chicago,Illinois,2020/12/02,2340,18280
Chicago,Illinois,2021/10/16,224,8581
Chicago,Illinois,2020/04/18,510,1981
Chicago,Illinois,2020/08/12,530,10992
Chicago,Illinois,2021/03/06,259,6131
Chicago,Illinois,2020/05/31,155,1746
Chicago,Illinois,2021/12/29,10469,52403
Chicago,Illinois,2020/07/11,194,4114
Chicago,Illinois,2020/04/17,737,2976
Chicago,Illinois,2021/09/16,595,22084
Chicago,Illinois,2021/05/05,580,16088
Chicago,Illinois,2020/03/19,149,961
Chicago,Illinois,2020/07/06,352,8791
Chicago,Illinois,2021/08/04,532,16362
Chicago,Illinois,2021/05/29,117,4901
Chicago,Illinois,2021/03/12,414,13264
Chicago,Illinois,2020/03/23,273,1262
Chicago,Illinois,2021/10/12,446,27847
Chicago,Illinois,2021/03/18,486,13848
Chicago,Illinois,2022/02/15,438,39809
Chicago,Illinois,2021/05/13,377,12122
Chicago,Illinois,2021/10/07,464,24355
Chicago,Illinois,2021/10/04,517,28749
Chicago,Illinois,2020/04/24,1110,3898
Chicago,Illinois,2022/02/08,668,39634
Chicago,Illinois,2020/09/25,444,8546
Chicago,Illinois,2020/11/27,1452,12047
Chicago,Illinois,2020/10/17,604,7174
Chicago,Illinois,2020/03/26,426,1477
Chicago,Illinois,2021/11/15,827,37040
Chicago,Illinois,2020/08/02,122,2662
Chicago,Illinois,2020/07/05,107,2645
Chicago,Illinois,2020/11/22,907,8840
Chicago,Illinois,2021/06/27,24,3640
Chicago,Illinois,2021/10/25,405,30448
Chicago,Illinois,2021/09/02,496,16721
Chicago,Illinois,2021/01/18,824,14508
Chicago,Illinois,2020/11/03,2266,17387
Chicago,Illinois,2021/12/23,8083,55378
Chicago,Illinois,2020/08/13,462,8928
Chicago,Illinois,2020/04/03,464,1710
Chicago,Illinois,2021/05/27,153,10061
Chicago,Illinois,2021/08/21,385,10698
Chicago,Illinois,2020/11/01,784,5846
Chicago,Illinois,2021/08/26,596,14509
Chicago,Illinois,2021/12/28,11362,58719
Chicago,Illinois,2021/10/22,362,21838
Chicago,Illinois,2021/05/22,191,5213
Chicago,Illinois,2020/12/17,1633,18228
Chicago,Illinois,2021/10/24,229,8247
Chicago,Illinois,2021/02/02,765,16898
Chicago,Illinois,2020/07/03,218,5124
Chicago,Illinois,2021/08/12,624,14722
Chicago,Illinois,2020/04/14,638,2367
Chicago,Illinois,2020/06/20,165,3184
Chicago,Illinois,2022/02/13,229,6060
Chicago,Illinois,2020/09/28,488,11476
Chicago,Illinois,2021/04/05,1038,19517
Chicago,Illinois,2021/08/05,499,15577
Chicago,Illinois,2021/03/20,337,6407
Chicago,Illinois,2021/04/18,361,6647
Chicago,Illinois,2021/06/04,103,8856
Chicago,Illinois,2021/11/12,766,18290
Chicago,Illinois,2020/08/17,622,11517
Chicago,Illinois,2021/04/30,650,14359
Chicago,Illinois,2020/03/18,124,745
Chicago,Illinois,2020/12/12,1076,8979
Chicago,Illinois,2021/09/07,552,21413
Chicago,Illinois,N/A,324,2851
Chicago,Illinois,2021/05/15,239,6527
Chicago,Illinois,2020/12/18,1613,20308
Chicago,Illinois,2020/11/28,1636,9675
Chicago,Illinois,2020/12/13,773,6216
Chicago,Illinois,2020/11/07,1673,8941
Chicago,Illinois,2021/03/26,648,12953
Chicago,Illinois,2022/01/22,1348,14062
Chicago,Illinois,2020/12/11,2014,18423
Chicago,Illinois,2021/02/22,463,16164
Chicago,Illinois,2022/02/19,171,7151
Chicago,Illinois,2021/04/21,743,15903
Chicago,Illinois,2020/03/17,62,541
Chicago,Illinois,2021/09/30,576,24443
Chicago,Illinois,2021/10/18,413,30154
Chicago,Illinois,2022/01/19,2946,48824
Chicago,Illinois,2020/07/09,337,7438
Chicago,Illinois,2022/03/12,108,6237
Chicago,Illinois,2021/01/21,986,16268
Chicago,Illinois,2020/04/08,653,2025
Chicago,Illinois,2021/09/14,622,24474
Chicago,Illinois,2020/11/17,2788,24017
Chicago,Illinois,2021/03/21,273,5626
Chicago,Illinois,2021/01/31,217,3858
Chicago,Illinois,2021/07/10,55,7260
Chicago,Illinois,2020/05/20,918,6528
Chicago,Illinois,2022/03/21,277,26317
Chicago,Illinois,2021/01/07,1541,17163
Chicago,Illinois,2021/07/13,104,9906
Chicago,Illinois,2020/06/26,285,7192
Chicago,Illinois,2022/01/10,6031,43351
Chicago,Illinois,2020/09/05,248,3741
Chicago,Illinois,2020/07/29,544,9827
Chicago,Illinois,2020/10/27,1738,17487
Chicago,Illinois,2021/02/24,387,13982
Chicago,Illinois,2021/09/26,257,8265
Chicago,Illinois,2020/04/12,340,1092
Chicago,Illinois,2020/10/12,688,10812
Chicago,Illinois,2020/10/13,945,14785
Chicago,Illinois,2021/11/10,662,31260
Chicago,Illinois,2021/01/28,762,15637
Chicago,Illinois,2022/03/04,160,21372
Chicago,Illinois,2021/05/06,481,14176
Chicago,Illinois,2021/10/23,268,9228
Chicago,Illinois,2021/03/27,466,7195
Chicago,Illinois,2021/09/01,565,16390
Chicago,Illinois,2021/12/09,1550,36486
Chicago,Illinois,2020/10/06,586,13609
Chicago,Illinois,2020/05/21,986,6015
Chicago,Illinois,2020/03/15,19,172
Chicago,Illinois,2020/05/22,934,6270
Chicago,Illinois,2021/04/23,676,14709
Chicago,Illinois,2021/02/05,481,13001
Chicago,Illinois,2021/02/13,305,5677
Chicago,Illinois,2020/08/27,446,8750
