Date,Day,Positive Tests,Not Positive Tests,Total Tests,Tests - Age 0-17,Tests - Age 18-29,Tests - Age 30-39,Tests - Age 40-49,Tests - Age 50-59,Tests - Age 60-69,Tests - Age 70-79,Tests - Age 80+,Tests - Age Unknown,Tests - Female,Tests - Male,Tests - Gender Unknown,Tests - Latinx,Tests - Asian Non-Latinx,Tests - Black Non-Latinx,Tests - White Non-Latinx,Tests - Other Race Non-Latinx,Tests - Unknown Race/Ethnicity,Positive Tests - Age 0-17,Positive Tests - Age 18-29,Positive Tests - Age 30-39,Positive Tests - Age 40-49,Positive Tests - Age 50-59,Positive Tests - Age 60-69,Positive Tests - Age 70-79,Positive Tests - Age 80+,Positive Tests - Age Unknown,Positive Tests - Female,Positive Tests - Male,Positive Tests - Unknown Gender,Positive Tests - Latinx,Positive Tests - Asian Non-Latinx,Positive Tests - Black Non-Latinx,Positive Tests - White Non-Latinx,Positive Tests - Other Race Non-Latinx,Positive Tests - Unknown Race/Ethnicity,Not-Positive Tests - Age 0-17,Not-Positive Tests - Age 18-29,Not-Positive Tests - Age 30-39,Not-Positive Tests - Age 40-49,Not-Positive Tests - Age 50-59,Not-Positive Tests - Age 60-69,Not-Positive Tests - Age 70-79,Not-Positive Tests - Age 80+,Not-Positive Tests - Age Unknown,Not-Positive Tests - Female,Not-Positive Tests - Male,Not-Positive Tests - Gender Unknown,Not-Positive Tests - Latinx,Not-Positive Tests - Asian Non-Latinx,Not-Positive Tests - Black Non-Latinx,Not-Positive Tests - White Non-Latinx,Not-Positive Tests - Other Race Non-Latinx,Not-Positive Tests - Unknown Race/Ethnicity
03/13/2021,Saturday,275,6317,6592,590,1423,1329,969,958,733,393,192,5,3271,3225,96,1005,243,1306,1611,335,2092,29,65,66,48,30,24,9,4,0,142,133,0,84,7,50,98,15,21,561,1358,1263,921,928,709,384,188,5,3129,3092,96,921,236,1256,1513,320,2071
11/07/2021,Sunday,343,8092,8435,1704,1946,1618,1090,916,630,356,169,6,4432,3930,73,1052,572,1684,2533,915,1679,81,79,82,49,29,13,5,5,0,180,163,0,53,13,85,123,22,47,1623,1867,1536,1041,887,617,351,164,6,4252,3767,73,999,559,1599,2410,893,1632
08/05/2020,Wednesday,461,9319,9780,702,2713,2117,1369,1179,919,451,324,6,5365,4181,234,1807,254,2170,2415,289,2845,52,136,104,67,40,37,16,7,2,229,229,3,214,4,107,90,15,31,650,2577,2013,1302,1139,882,435,317,4,5136,3952,231,1593,250,2063,2325,274,2814
11/24/2020,Tuesday,2209,18882,21091,1501,5639,4659,3001,2651,2085,913,637,5,11528,9194,369,3519,869,3470,4685,750,7798,260,512,416,384,294,195,89,57,2,1165,1039,5,837,70,411,500,100,291,1241,5127,4243,2617,2357,1890,824,580,3,10363,8155,364,2682,799,3059,4185,650,7507
11/10/2020,Tuesday,3601,19766,23367,1946,6539,4840,3380,2890,2123,967,673,9,12813,10173,381,5021,1087,3603,5601,888,7167,406,876,741,619,468,299,130,61,1,1872,1723,6,1591,114,557,845,143,351,1540,5663,4099,2761,2422,1824,837,612,8,10941,8450,375,3430,973,3046,4756,745,6816
06/19/2020,Friday,319,5822,6141,353,1265,1174,861,889,831,445,312,11,3331,2616,194,1026,134,1252,1244,226,2259,27,83,53,45,41,35,19,15,1,167,149,3,153,6,60,57,11,32,326,1182,1121,816,848,796,426,297,10,3164,2467,191,873,128,1192,1187,215,2227
08/30/2020,Sunday,126,3125,3251,268,927,638,390,383,308,202,134,1,1707,1529,15,362,104,674,909,136,1066,13,36,20,19,18,9,4,6,1,66,60,0,37,1,27,50,4,7,255,891,618,371,365,299,198,128,0,1641,1469,15,325,103,647,859,132,1059
04/19/2021,Monday,788,17971,18759,1555,4967,3622,2566,2437,1963,973,640,36,10017,8457,285,2652,990,3871,4859,751,5636,140,201,170,135,82,41,12,7,0,428,360,0,222,37,270,151,33,75,1415,4766,3452,2431,2355,1922,961,633,36,9589,8097,285,2430,953,3601,4708,718,5561
10/11/2021,Monday,406,18382,18788,3185,4121,3518,2435,2219,1778,938,585,9,9967,8552,269,2056,1111,4047,5330,2032,4212,99,77,72,58,51,24,20,5,0,213,192,1,54,10,94,168,40,40,3086,4044,3446,2377,2168,1754,918,580,9,9754,8360,268,2002,1101,3953,5162,1992,4172
11/08/2020,Sunday,1195,5997,7192,651,1924,1505,1011,889,661,322,223,6,3784,3338,70,1177,283,1287,2076,328,2041,130,294,250,186,155,99,49,32,0,606,588,1,410,35,207,366,64,113,521,1630,1255,825,734,562,273,191,6,3178,2750,69,767,248,1080,1710,264,1928
04/12/2021,Monday,1009,17907,18916,1799,5301,3562,2543,2348,1757,884,692,30,9896,8775,245,2847,1138,3883,5375,724,4949,156,246,216,155,112,72,36,16,0,500,509,0,299,27,347,232,14,90,1643,5055,3346,2388,2236,1685,848,676,30,9396,8266,245,2548,1111,3536,5143,710,4859
07/28/2021,Wednesday,344,13872,14216,1322,3664,3109,2188,1799,1268,524,335,7,7464,6615,137,1407,493,2084,2758,577,6897,42,117,86,44,32,13,8,2,0,172,172,0,71,17,94,99,16,47,1280,3547,3023,2144,1767,1255,516,333,7,7292,6443,137,1336,476,1990,2659,561,6850
06/05/2021,Saturday,74,4615,4689,618,934,771,583,620,602,371,179,11,2453,2213,23,768,251,1149,1063,164,1294,15,16,10,10,11,6,4,2,0,43,31,0,24,2,26,15,2,5,603,918,761,573,609,596,367,177,11,2410,2182,23,744,249,1123,1048,162,1289
03/19/2021,Friday,488,12771,13259,944,4421,2635,1687,1602,1166,536,260,8,6748,6273,238,1885,948,2555,3827,571,3473,67,150,116,59,45,27,15,8,1,239,249,0,142,31,107,155,16,37,877,4271,2519,1628,1557,1139,521,252,7,6509,6024,238,1743,917,2448,3672,555,3436
10/20/2020,Tuesday,1318,15509,16827,1323,4788,3548,2166,1923,1532,877,665,5,9148,7330,349,3088,791,2550,4532,574,5292,166,348,265,217,150,97,53,21,1,673,645,0,611,41,168,341,34,123,1157,4440,3283,1949,1773,1435,824,644,4,8475,6685,349,2477,750,2382,4191,540,5169
06/28/2021,Monday,70,8546,8616,1023,1703,1689,1273,1150,937,495,325,21,4605,3978,33,1135,541,1884,1699,284,3073,16,13,12,13,6,5,5,0,0,25,45,0,21,3,25,9,4,8,1007,1690,1677,1260,1144,932,490,325,21,4580,3933,33,1114,538,1859,1690,280,3065
07/05/2021,Monday,70,5187,5257,674,1126,999,773,690,535,271,171,18,2755,2475,27,706,258,1131,1112,140,1910,12,18,16,9,6,6,2,1,0,30,39,1,19,2,18,19,4,8,662,1108,983,764,684,529,269,170,18,2725,2436,26,687,256,1113,1093,136,1902
01/06/2021,Wednesday,1683,14226,15909,1155,4766,3421,2125,1837,1418,757,427,3,8564,7096,249,2663,688,2965,4414,755,4424,204,486,336,238,186,133,70,30,0,878,798,7,577,76,349,482,50,149,951,4280,3085,1887,1651,1285,687,397,3,7686,6298,242,2086,612,2616,3932,705,4275
03/11/2022,Friday,151,19921,20072,9101,2590,2311,1826,1773,1372,697,395,7,10544,9026,502,4431,827,5825,3671,903,4415,32,27,26,14,20,16,7,9,0,72,78,1,17,11,30,53,8,32,9069,2563,2285,1812,1753,1356,690,386,7,10472,8948,501,4414,816,5795,3618,895,4383
04/07/2020,Tuesday,559,1293,1852,36,268,397,327,302,271,136,115,0,997,846,9,331,57,485,311,92,576,3,78,110,96,86,79,52,55,0,296,262,1,177,15,195,92,29,51,33,190,287,231,216,192,84,60,0,701,584,8,154,42,290,219,63,525
